v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 1 0 13 1 12    3654.0488524306    1.955e-05    156    38       R-
   0 1 0 13 2 12    3654.2150374624    2.704e-05     85    28       R-
   0 1 0 14 0 14    3655.4827876846    1.542e-04     62    23       R-
   0 1 0 14 1 14    3655.4851039133    1.176e-04    120    37       R-
   1 0 0 0 0 0      3657.0530800730    2.024e-05     11     9       R+
   0 1 0 11 5 6     3659.9039603017    1.750e-05    165    35       R+
   0 0 0 19 0 19    3675.1123055367    1.722e-04     96    27       R-
   0 0 0 19 1 19    3675.1123255367    2.627e-04     69    17       R-
   1 0 0 1 0 1      3680.4536608759    1.755e-05     44    20       R+
   0 0 0 14 9 6     3685.4068609546    3.900e-04    120    24       R-
   0 0 0 14 9 5     3685.4187619621    1.004e-03     60    23       R+
   1 0 0 1 1 1      3693.2935761898    2.015e-05     36    14       R+
   1 0 0 1 1 0      3698.4912746764    2.149e-05     47    21       R+
   0 2 0 6 1 5      3713.0824789024    1.840e-05     78    20       R+
   0 2 0 5 3 3      3719.4928390357    1.434e-05    109    22       R+
   0 2 0 5 3 2      3722.7309598540    1.939e-05    150    25       R+
   1 0 0 2 0 2      3725.9419724346    2.029e-05     45    16       R+
   1 0 0 2 1 2      3734.8968996792    1.666e-05     85    22       R+
   0 2 0 6 2 5      3736.1707440530    1.207e-05    157    29       R+
   0 1 0 12 3 9     3738.5432452297    3.148e-05     86    24       R-
   0 2 0 7 0 7      3738.6090951244    1.100e-05    118    29       R+
   0 2 0 7 1 7      3739.5187626946    1.982e-05     89    25       R+
   0 2 0 4 4 1      3746.7626219442    2.088e-05    102    29       R+
   0 2 0 4 4 0      3746.7759126145    1.465e-05     63    21       R+
   1 0 0 2 1 1      3750.4644773337    2.144e-05     45    15       R+
   0 1 0 9 8 2      3752.4161155837    5.379e-05     99    20       R-
   0 1 0 9 8 1      3752.4161605837    1.160e-05    110    31       R+
   0 0 1 0 0 0      3755.9285474458    1.170e-05     15    12       R+
   0 0 0 16 5 11    3758.3967630734    4.833e-04     76    22       R-
   0 0 0 12 12 1    3766.3870294277    1.153e-04     61    22       R-
   0 0 0 12 12 0    3766.3870294277    1.158e-04     61    16       R-
   0 1 0 10 7 4     3770.7112973813    1.110e-05    132    29       R+
   0 1 0 10 7 3     3770.7244061178    5.459e-05     61    25       R-
   0 1 0 12 4 9     3770.8788638395    1.963e-05    175    31       R-
   0 0 1 1 0 1      3779.4931027976    1.720e-05     42    19       R+
   0 2 0 6 2 4      3784.6791213570    1.488e-05     99    24       R+
   1 0 0 2 2 1      3788.6943617398    1.692e-05     78    22       R+
   1 0 0 2 2 0      3789.9693784543    2.157e-05     46    17       R+
   1 0 0 3 0 3      3791.3721009547    1.645e-05     74    20       R+
   0 0 1 1 1 1      3791.7008584023    1.161e-05     44    18       R+
   1 0 0 3 1 3      3796.5397227289    2.204e-05     67    20       R+
   0 0 1 1 1 0      3796.9816349277    2.003e-05     32    16       R+
   0 0 0 17 3 14    3810.9365944187    2.576e-04    124    27       R+
   0 0 0 17 4 14    3812.0466600628    4.217e-04     68    20       R-
   0 0 0 16 6 11    3822.2458845191    2.576e-04    153    26       R+
   0 0 0 15 8 8     3824.4993891823    5.333e-04     69    21       R-
   0 0 0 15 8 7     3824.9978176513    2.940e-04    114    25       R-
   0 0 1 2 0 2      3825.2130349495    1.156e-05     83    21       R+
   1 0 0 3 1 2      3827.3926846829    1.688e-05     87    21       R+
   0 0 0 13 11 3    3831.1790934629    1.990e-04     93    16       R-
   0 0 0 13 11 2    3831.1790954629    1.986e-04     98    24       R-
   0 1 0 11 6 6     3832.2517253275    5.478e-05     79    25       R-
   0 1 0 11 6 5     3833.1443261235    1.187e-05    154    32       R+
   0 0 1 2 1 2      3833.5766599954    1.319e-05     58    20       R+
   0 1 0 12 4 8     3843.4104100739    2.218e-05     87    24       R+
   0 0 1 2 1 1      3849.3853414456    1.142e-05     83    20       R+
   1 0 0 3 2 2      3858.8755229811    2.216e-05     72    20       R+
   1 0 0 3 2 1      3864.7637648080    1.141e-05     95    21       R+
   0 2 0 6 3 4      3864.9660265307    2.992e-05    150    24       R+
   0 2 0 5 4 2      3868.8729102515    1.353e-05     85    22       R+
   0 2 0 5 4 1      3868.9870078736    1.330e-05    126    27       R-
   0 0 0 16 6 10    3870.2016127741    3.179e-04     69    20       R-
   0 2 0 6 3 3      3873.7936978518    1.407e-05    104    25       R+
   1 0 0 4 0 4      3875.0171310540    1.913e-05     62    18       R+
   0 1 0 13 2 11    3877.0885622234    2.085e-05    155    32       R+
   1 0 0 4 1 4      3877.5751959927    1.338e-05    101    24       R+
   0 2 0 7 1 6      3879.3361351765    3.651e-05    131    26       R+
   0 1 0 13 3 11    3879.7208214185    1.292e-05     87    26       R+
   0 0 1 2 2 1      3885.7377118204    1.197e-05     55    21       R+
   0 0 1 2 2 0      3887.1142071597    1.151e-05     73    23       R+
   0 0 1 3 0 3      3890.8293234997    1.530e-05     71    23       R+
   0 2 0 7 2 6      3894.1677323647    1.228e-05     97    23       R+
   0 2 0 8 0 8      3894.7988885136    1.258e-05     86    22       R+
   0 2 0 8 1 8      3895.2528918970    2.560e-05    123    28       R+
   0 0 1 3 1 3      3895.5880654314    1.268e-05     88    22       R+
   0 0 0 14 10 5    3922.3304448516    3.843e-04    109    25       R-
   0 0 0 14 10 4    3922.3307419691    4.083e-04     86    15       R-
   0 0 1 3 1 2      3926.8622091135    1.516e-05     75    20       R+
   1 0 0 4 1 3      3927.8028208094    1.447e-05     62    20       R+
   1 0 0 3 3 1      3935.2111389998    8.171e-05     54    19       R-
   1 0 0 3 3 0      3935.3446321226    2.610e-05     69    22       R+
   0 1 0 15 0 15    3937.5715055687    2.203e-04     96    27       R-
   0 1 0 15 1 15    3937.5719869575    1.042e-04     66    23       R-
   0 1 0 14 1 13    3939.7465121830    2.049e-05     79    22       R-
   0 1 0 14 2 13    3939.8318376014    1.769e-05    119    27       R-
   0 1 0 12 5 8     3940.5194143864    1.529e-05    156    30       R+
   0 0 0 18 2 16    3940.5451307661    4.757e-04     53    17       R-
   0 0 0 18 3 16    3940.5868261843    2.859e-04    108    23       R-
   1 0 0 4 2 3      3951.3149760130    2.727e-05    108    21       R+
   0 0 1 3 2 2      3956.6657957291    1.489e-05     96    21       R+
   0 1 0 12 5 7     3959.2533694055    2.224e-05     91    27       R+
   0 0 1 3 2 1      3962.9178712541    1.685e-05     73    18       R+
   1 0 0 4 2 2      3966.5592936623    1.448e-05     77    20       R+
   0 2 0 7 2 5      3967.4885504097    2.658e-05    147    27       R+
   0 0 1 4 0 4      3974.6309266340    1.998e-05    105    23       R+
   1 0 0 5 0 5      3976.3080723049    1.760e-05     96    21       R-
   0 0 1 4 1 4      3977.2615650617    1.513e-05     75    24       R+
   1 0 0 5 1 5      3977.4563871483    1.844e-05     68    20       R+
   0 1 0 9 9 1      3994.2602048849    1.677e-05     77    15       R+
   0 1 0 9 9 0      3994.2602048849    2.081e-05     79    28       R+
   0 1 0 10 8 3     3997.5082739601    7.395e-05    118    29       R-
   0 1 0 10 8 2     3997.5083417830    3.256e-05     95    19       R-
   0 0 0 16 7 10    4006.0732097728    3.158e-04    119    20       R-
   0 2 0 6 4 3      4015.5151444143    2.522e-05    137    23       R+
   0 2 0 6 4 2      4016.0527322629    3.890e-05     90    21       R+
   0 0 0 16 7 9     4016.1344486876    7.138e-04     60    19       R+
   0 0 0 17 4 13    4017.9083499808    3.159e-04    111    22       R-
   0 0 0 19 1 18    4021.2173140701    2.948e-04     94    23       R-
   0 0 0 19 2 18    4021.2178975081    6.466e-04     67    20       R-
   0 0 0 17 5 13    4027.5059855396    3.436e-04     82    21       R+
   0 0 1 4 1 3      4027.8039681069    2.016e-05    125    23       R+
   0 0 1 3 3 1      4030.0697776091    1.715e-05     76    22       R+
   0 0 1 3 3 0      4030.3060505759    1.252e-05     63    22       R+
   1 0 0 4 3 2      4030.8388701570    1.453e-05    100    22       R+
   1 0 0 4 3 1      4031.8535705514    1.503e-05     63    20       R+
   0 2 0 7 3 5      4033.6144530117    3.918e-05    104    22       R+
   0 1 0 11 7 5     4038.3515282489    3.344e-05     67    24       R-
   0 1 0 11 7 4     4038.4033772141    4.420e-05    130    26       R-
   0 0 0 15 9 7     4045.2851192874    1.037e-03     48    20       R+
   0 0 0 15 9 6     4045.3223128293    2.158e-04    101    22       R-
   0 0 0 20 0 20    4048.2499223274    5.218e-04     64    12       R-
   0 0 0 20 1 20    4048.2499333274    4.942e-04     81    21       R-
   1 0 0 5 1 4      4049.5361099689    1.428e-05    106    21       R+
   0 0 1 4 2 3      4050.0522812633    1.454e-05     81    21       R+
   0 2 0 5 5 1      4050.5037470046    4.061e-05     49    20       R+
   0 2 0 5 5 0      4050.5125153288    1.486e-05    109    28       R+
   0 1 0 13 3 10    4052.8108799599    1.796e-05    132    30       R-
   0 2 0 7 3 4      4052.8370113640    2.618e-05    156    26       R+
   0 2 0 8 1 7      4062.8380397148    1.280e-05     90    23       R+
   1 0 0 5 2 4      4065.1317810351    1.626e-05     72    18       R+
   0 0 1 4 2 2      4066.1225496238    1.702e-05    112    26       R+
   0 2 0 9 0 9      4068.7037078289    4.244e-05    115    24       R+
   0 2 0 9 1 9      4068.9311230779    1.529e-05     73    23       R+
   0 2 0 8 2 7      4071.7334467573    2.658e-05    149    26       R+
   0 1 0 13 4 10    4074.0386089171    1.736e-05     88    23       R-
   0 0 1 5 0 5      4076.1432587693    2.939e-05     81    21       R-
   0 0 1 5 1 5      4076.8958361608    1.583e-05    110    25       R+
   0 0 0 13 12 1    4087.9808040591    2.325e-04     72    23       R-
   0 0 0 13 12 2    4087.9808040591    2.328e-04     72    14       R-
   1 0 0 6 0 6      4095.3152817616    7.427e-05     63    19       R-
   1 0 0 6 1 6      4095.8032241736    2.771e-05     96    24       R+
   1 0 0 5 2 3      4095.9200102903    1.440e-05    100    22       R+
   0 1 0 12 6 7     4123.2853074817    1.490e-05    142    25       R-
   0 0 1 4 3 2      4125.1486526945    3.491e-05     81    17       R-
   0 1 0 12 6 6     4125.5990061607    5.940e-05     83    23       R-
   0 0 1 4 3 1      4126.4633758281    1.421e-05    124    22       R+
   1 0 0 4 4 0      4134.7983646687    1.787e-05     61    20       R+
   1 0 0 4 4 1      4135.0175888010    1.764e-05     91    23       R+
   0 0 1 5 1 4      4149.8992149002    2.021e-05     83    22       R+
   1 0 0 5 3 3      4150.2872744665    1.678e-05     79    21       R+
   1 0 0 5 3 2      4153.9380646052    1.583e-05    127    23       R+
   0 0 1 5 2 4      4165.4737831339    1.420e-05    117    22       R+
   0 0 0 14 11 4    4172.1523379670    3.773e-04     87    19       R-
   0 0 0 14 11 3    4172.1523559670    4.005e-04     80     8       R-
   0 2 0 8 2 6      4173.2256693667    1.710e-05     94    23       R-
   0 1 0 13 4 9     4174.0386050278    1.689e-05    149    25       R+
   0 0 0 17 5 12    4174.2870184318    3.731e-04    120    22       R-
   0 1 0 14 2 12    4183.3889907180    3.789e-05     77    22       R-
   0 1 0 14 3 12    4184.8312052005    1.672e-05    126    27       R+
   0 2 0 7 4 4      4186.5693427146    1.598e-05    100    21       R+
   0 2 0 7 4 3      4188.3942601788    1.270e-05    135    23       R+
   1 0 0 6 1 5      4190.2621608591    1.826e-05     70    21       R+
   0 0 1 6 0 6      4195.4772158035    2.784e-05    113    21       R+
   0 0 1 6 1 6      4195.8180310708    1.271e-05     80    21       R+
   0 0 1 5 2 3      4195.9709489496    1.312e-05     79    21       R+
   0 2 0 6 5 2      4197.3387519378    1.216e-05    122    24       R+
   0 2 0 6 5 1      4197.3609689203    1.656e-05     78    21       R+
   1 0 0 6 2 5      4199.3909141057    1.836e-05    124    24       R+
   0 0 0 18 3 15    4201.2510609987    3.513e-04     50    15       R-
   0 0 0 18 4 15    4201.8577549845    3.730e-04    102    19       R-
   0 0 0 16 8 9     4206.3323617563    6.869e-04     97    20       R-
   0 0 0 16 8 8     4207.5610138258    1.632e-03     48    15       R-
   0 0 0 17 6 12    4221.0393414477    2.867e-04     59    16       R-
   0 2 0 8 3 6      4224.5864377018    1.322e-05    144    22       R+
   0 0 1 4 4 1      4224.8167525028    1.536e-05     49    18       R+
   0 0 1 4 4 0      4224.8508352613    1.802e-05     77    21       R+
   1 0 0 7 0 7      4232.1844442657    2.895e-05     96    23       R+
   1 0 0 7 1 7      4232.3842664676    6.568e-05     63    20       R-
   0 1 0 16 0 16    4237.3208789991    1.053e-04     51    20       R-
   0 1 0 16 1 16    4237.3209169119    8.772e-05    101    25       R-
   0 1 0 10 9 2     4240.9421645574    4.004e-05     88    26       R+
   0 1 0 10 9 1     4240.9421695574    4.219e-05     85    15       R+
   0 1 0 15 1 14    4243.1095709436    4.252e-05    101    22       R-
   0 1 0 15 2 14    4243.1540114963    1.259e-04     57    20       R-
   0 0 1 5 3 3      4244.3046765040    1.767e-05    146    24       R+
   0 0 1 5 3 2      4248.1524902477    1.797e-05     86    20       R+
   1 0 0 6 2 4      4249.5244127568    1.812e-05     70    18       R+
   0 1 0 13 5 9     4252.4481454427    1.038e-04     91    22       R-
   1 0 0 5 4 1      4256.2412273419    2.020e-05    116    24       R+
   1 0 0 5 4 2      4257.7867102593    1.143e-05     80    18       R+
   0 2 0 8 3 5      4259.8764338705    1.137e-05     96    25       R+
   0 2 0 10 0 10    4260.3517526471    2.385e-05     66    22       R-
   0 2 0 10 1 10    4260.4668888125    1.683e-05    107    23       R+
   0 2 0 9 1 8      4263.1504191100    1.787e-05    118    23       R+
   0 1 0 11 8 4     4265.9743478245    1.289e-04     68    20       R+
   0 1 0 11 8 3     4265.9763558892    1.509e-05    118    28       R+
   0 2 0 9 2 8      4268.2408304879    2.868e-05     88    23       R-
   0 0 0 15 10 5    4283.3080546383    4.140e-04     97    22       R-
   0 0 0 15 10 6    4283.3086270127    3.850e-04     64    19       R-
   0 1 0 13 5 8     4285.6475074581    2.185e-05    140    23       R-
   0 0 1 6 1 5      4290.7570214916    1.064e-05    124    22       R+
   0 0 0 17 6 11    4291.9097250362    5.792e-04    112    20       R-
   1 0 0 6 3 4      4292.9098692195    2.065e-05    134    23       R+
   0 0 1 6 2 5      4296.5634138274    2.216e-05     89    21       R+
   1 0 0 6 3 3      4308.2113072083    1.866e-05     81    19       R+
   0 1 0 12 7 6     4329.3243414446    1.461e-05    116    22       R+
   0 1 0 12 7 5     4329.4957642606    1.038e-04     61    21       R+
   0 0 0 19 2 17    4331.0660570049    3.318e-04    101    19       R-
   0 0 0 19 3 17    4331.0883567655    8.745e-04     40    17       R-
   0 0 1 7 0 7      4332.7738537115    1.540e-05     75    20       R-
   0 0 1 7 1 7      4332.9123308424    6.566e-05    106    23       R+
   0 0 1 5 4 2      4345.2719165466    1.577e-05    113    22       R+
   0 0 1 5 4 1      4345.5590973451    1.345e-05     61    20       R+
   1 0 0 7 1 6      4348.4146795576    2.185e-05    106    20       R-
   0 0 0 13 13 1    4350.5918440811    2.588e-04     58    12       R-
   0 0 0 13 13 0    4350.5918440811    2.586e-04     58    20       R-
   0 0 1 6 2 4      4350.6993079384    1.312e-05    137    25       R+
   1 0 0 7 2 6      4353.2314011436    1.555e-04     65    17       R-
   0 2 0 7 5 3      4368.5460153777    1.976e-05     79    20       R+
   0 2 0 7 5 2      4368.6369203225    1.395e-05    121    24       R+
   0 2 0 8 4 5      4381.7353033404    1.318e-05    152    25       R+
   1 0 0 5 5 0      4381.9039730651    1.375e-05     82    24       R+
   1 0 0 5 5 1      4381.9040301971    4.637e-05     59    16       R-
   0 1 0 14 3 11    4382.7801144754    2.945e-04     81    21       R-
   0 2 0 8 4 4      4386.3131222407    1.964e-05     87    20       R+
   1 0 0 8 1 8      4387.0633914051    2.331e-05     94    20       R+
   0 0 1 6 3 4      4387.2347633682    1.834e-05    102    23       R+
   1 0 0 8 0 8      4387.3571319202    1.454e-05     85    21       R+
   1 0 0 6 4 3      4394.4643130254    1.257e-05    121    21       R+
   0 1 0 14 4 11    4396.0513719926    1.176e-04    130    25       R-
   0 2 0 9 2 7      4399.5421239925    4.501e-05    120    23       R+
   1 0 0 6 4 2      4401.9418407963    3.441e-05     76    22       R+
   0 2 0 6 6 1      4407.0463043237    1.364e-05    129    28       R+
   0 2 0 6 6 0      4407.1575307656    5.231e-05     75    19       R+
   0 0 1 6 3 3      4408.0288045711    1.641e-05    143    27       R+
   0 0 0 17 7 11    4409.3447285332    5.350e-04     63    18       R-
