v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,17,7,10,2328.222280,12.0
0,0,0,21,0,21,2329.342602,1500.0
0,0,0,21,1,21,2329.344921,862.2
0,1,0,12,4,8,2333.649180,120.2
0,2,0,0,0,0,2336.838866,383.5
0,0,0,15,10,6,2339.455807,493.4
0,0,0,15,10,5,2339.456490,12.0
0,1,0,10,7,4,2344.832226,144.5
0,1,0,10,7,3,2344.833324,127.1
0,2,0,1,0,1,2348.970913,364.2
0,1,0,11,6,6,2357.020393,143.3
0,1,0,11,6,5,2357.195526,154.4
0,2,0,1,1,1,2359.689384,229.2
0,1,0,9,8,2,2360.826669,166.9
0,1,0,9,8,1,2360.826722,225.0
0,1,0,13,2,11,2361.328868,143.5
0,2,0,1,1,0,2362.347475,269.7
0,1,0,13,3,11,2363.887550,146.5
0,2,0,2,0,2,2372.790551,223.6
0,2,0,2,1,2,2381.299727,223.4
0,0,0,16,9,8,2381.420790,122.0
0,0,0,16,9,7,2381.428529,468.2
0,2,0,2,1,1,2389.266684,220.1
0,0,0,18,5,13,2397.367664,431.8
0,1,0,14,1,13,2399.403063,152.3
0,1,0,12,5,8,2399.474898,131.7
0,1,0,14,2,13,2399.482846,184.7
0,1,0,12,5,7,2404.737966,115.1
0,1,0,15,0,15,2405.657952,197.2
0,1,0,15,1,15,2405.658055,186.5
0,2,0,3,0,3,2407.489934,223.0
0,2,0,3,1,3,2413.450592,171.9
0,0,0,19,3,16,2416.170377,560.5
0,0,0,19,4,16,2416.698406,396.6
0,2,0,2,2,1,2421.194986,191.5
0,2,0,2,2,0,2421.630402,217.2
0,2,0,3,1,2,2429.317374,191.1
0,0,0,18,6,13,2433.587612,478.0
0,1,0,13,3,10,2445.531505,177.7
0,0,0,17,8,10,2449.523841,454.5
0,0,0,17,8,9,2449.872150,122.0
0,2,0,4,0,4,2452.177691,139.6
0,2,0,4,1,4,2455.887908,109.7
0,2,0,3,2,2,2457.612731,193.1
0,2,0,3,2,1,2459.709766,171.1
0,1,0,13,4,10,2463.904869,106.0
0,0,0,18,6,12,2464.735813,428.9
0,1,0,11,7,5,2480.979983,121.2
0,1,0,11,7,4,2480.987481,138.3
0,2,0,4,1,3,2482.048357,194.3
0,1,0,10,8,3,2484.772526,371.3
0,1,0,10,8,2,2484.772926,166.9
0,0,0,20,2,18,2485.758868,489.5
0,0,0,20,3,18,2485.777292,649.5
0,0,0,14,12,3,2497.716789,122.0
0,0,0,14,12,2,2497.716789,122.0
0,1,0,13,4,9,2504.202035,180.9
0,2,0,4,2,3,2505.791230,146.3
0,1,0,12,6,7,2505.847430,121.1
0,0,0,15,11,5,2506.103931,517.1
0,2,0,5,0,5,2506.257552,132.4
0,1,0,12,6,6,2506.328276,126.1
0,2,0,5,1,5,2508.358996,131.6
0,0,0,13,13,0,2509.170161,122.0
